bitcoin_price,shamsi_date,date
49960.,۰۵ اردیبهشت ۱۴۰۰,2021-04-24
50818.,۰۴ اردیبهشت ۱۴۰۰,2021-04-23
50629.,۰۳ اردیبهشت ۱۴۰۰,2021-04-22
52898.,۰۲ اردیبهشت ۱۴۰۰,2021-04-21
55562.,۰۱ اردیبهشت ۱۴۰۰,2021-04-20
56497.,۳۱ فروردین ۱۴۰۰,2021-04-19
55718.,۳۰ فروردین ۱۴۰۰,2021-04-18
55717.,۲۹ فروردین ۱۴۰۰,2021-04-17
61241.,۲۸ فروردین ۱۴۰۰,2021-04-16
61676.,۲۷ فروردین ۱۴۰۰,2021-04-15
63341.,۲۶ فروردین ۱۴۰۰,2021-04-14
61999.,۲۵ فروردین ۱۴۰۰,2021-04-13
62853.,۲۴ فروردین ۱۴۰۰,2021-04-12
60245.,۲۳ فروردین ۱۴۰۰,2021-04-11
59805.,۲۲ فروردین ۱۴۰۰,2021-04-10
59678.,۲۱ فروردین ۱۴۰۰,2021-04-09
58437.,۲۰ فروردین ۱۴۰۰,2021-04-08
58131.,۱۹ فروردین ۱۴۰۰,2021-04-07
55938.,۱۸ فروردین ۱۴۰۰,2021-04-06
58295.,۱۷ فروردین ۱۴۰۰,2021-04-05
59029.,۱۶ فروردین ۱۴۰۰,2021-04-04
58397.,۱۵ فروردین ۱۴۰۰,2021-04-03
59064.,۱۴ فروردین ۱۴۰۰,2021-04-02
59241.,۱۳ فروردین ۱۴۰۰,2021-04-01
59037.,۱۲ فروردین ۱۴۰۰,2021-03-31
59645.,۱۱ فروردین ۱۴۰۰,2021-03-30
59017.,۱۰ فروردین ۱۴۰۰,2021-03-29
57766.,۰۹ فروردین ۱۴۰۰,2021-03-28
55177.,۰۸ فروردین ۱۴۰۰,2021-03-27
55961.,۰۷ فروردین ۱۴۰۰,2021-03-26
53834.,۰۶ فروردین ۱۴۰۰,2021-03-25
52008.,۰۵ فروردین ۱۴۰۰,2021-03-24
55488.,۰۴ فروردین ۱۴۰۰,2021-03-23
55194.,۰۳ فروردین ۱۴۰۰,2021-03-22
56039.,۰۲ فروردین ۱۴۰۰,2021-03-21
57979.,۰۱ فروردین ۱۴۰۰,2021-03-20
58754.,۳۰ اسفند ۱۳۹۹,2021-03-19
59042.,۲۹ اسفند ۱۳۹۹,2021-03-18
57770.,۲۸ اسفند ۱۳۹۹,2021-03-17
58081.,۲۷ اسفند ۱۳۹۹,2021-03-16
56246.,۲۶ اسفند ۱۳۹۹,2021-03-15
56830.,۲۵ اسفند ۱۳۹۹,2021-03-14
59850.,۲۴ اسفند ۱۳۹۹,2021-03-13
61191.,۲۳ اسفند ۱۳۹۹,2021-03-12
56616.,۲۲ اسفند ۱۳۹۹,2021-03-11
57206.,۲۱ اسفند ۱۳۹۹,2021-03-10
56557.,۲۰ اسفند ۱۳۹۹,2021-03-09
54365.,۱۹ اسفند ۱۳۹۹,2021-03-08
51414.,۱۸ اسفند ۱۳۹۹,2021-03-07
48560.,۱۶ اسفند ۱۳۹۹,2021-03-05
49283.,۱۵ اسفند ۱۳۹۹,2021-03-04
48266.,۱۴ اسفند ۱۳۹۹,2021-03-04
47965.,۱۴ اسفند ۱۳۹۹,2021-03-03
50538.,۱۳ اسفند ۱۳۹۹,2021-03-03
50940.,۱۳ اسفند ۱۳۹۹,2021-03-02
47543.,۱۲ اسفند ۱۳۹۹,2021-03-01
48622.,۱۱ اسفند ۱۳۹۹,2021-02-28
44394.,۱۰ اسفند ۱۳۹۹,2021-02-27
47395.,۰۹ اسفند ۱۳۹۹,2021-02-26
46394.,۰۸ اسفند ۱۳۹۹,2021-02-25
49452.,۰۷ اسفند ۱۳۹۹,2021-02-24
48920.,۰۶ اسفند ۱۳۹۹,2021-02-23
46576.,۰۵ اسفند ۱۳۹۹,2021-02-22
54260.,۰۴ اسفند ۱۳۹۹,2021-02-21
58196.,۰۳ اسفند ۱۳۹۹,2021-02-20
56942.,۰۲ اسفند ۱۳۹۹,2021-02-19
54892.,۰۱ اسفند ۱۳۹۹,2021-02-18
52036.,۳۰ بهمن ۱۳۹۹,2021-02-17
52337.,۲۹ بهمن ۱۳۹۹,2021-02-16
48371.,۲۸ بهمن ۱۳۹۹,2021-02-15
48727.,۲۷ بهمن ۱۳۹۹,2021-02-14
48759.,۲۶ بهمن ۱۳۹۹,2021-02-13
46741.,۲۵ بهمن ۱۳۹۹,2021-02-12
47322.,۲۴ بهمن ۱۳۹۹,2021-02-11
48299.,۲۳ بهمن ۱۳۹۹,2021-02-10
44933.,۲۲ بهمن ۱۳۹۹,2021-02-09
46826.,۲۱ بهمن ۱۳۹۹,2021-02-08
43014.,۲۰ بهمن ۱۳۹۹,2021-02-07
38052.,۱۹ بهمن ۱۳۹۹,2021-02-06
39765.,۱۸ بهمن ۱۳۹۹,2021-02-05
37568.,۱۷ بهمن ۱۳۹۹,2021-02-04
37486.,۱۶ بهمن ۱۳۹۹,2021-02-03
36824.,۱۵ بهمن ۱۳۹۹,2021-02-02
35631.,۱۴ بهمن ۱۳۹۹,2021-02-01
33885.,۱۳ بهمن ۱۳۹۹,2021-01-31
32732.,۱۲ بهمن ۱۳۹۹,2021-01-30
34360.,۱۱ بهمن ۱۳۹۹,2021-01-29
34527.,۱۰ بهمن ۱۳۹۹,2021-01-28
32895.,۰۹ بهمن ۱۳۹۹,2021-01-27
31446.,۰۸ بهمن ۱۳۹۹,2021-01-26
32180.,۰۷ بهمن ۱۳۹۹,2021-01-25
33335.,۰۶ بهمن ۱۳۹۹,2021-01-24
31490.,۰۵ بهمن ۱۳۹۹,2021-01-23
32236.,۰۴ بهمن ۱۳۹۹,2021-01-22
33807.,۰۳ بهمن ۱۳۹۹,2021-01-21
32233.,۰۲ بهمن ۱۳۹۹,2021-01-20
35024.,۰۱ بهمن ۱۳۹۹,2021-01-19
